trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-117.86336352591522,"{0: 8, 1: 4, 2: 5, 3: 3, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-80.26528492335079,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-50.93953540021045,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-130.04712962483774,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,12,-31.700673979469187,"{0: 5, 1: 0, 2: 2, 3: 1, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-144.05846303479748,"{0: 19, 1: 3, 2: 3, 3: 4, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-64.76947621352548,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,0,-133.24229343061813,"{0: 15, 1: 8, 2: 5, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,12,-10.045347721543093,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-148.95471152280203,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-106.65015860280928,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-84.73204415396577,"{0: 14, 1: 4, 2: 0, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-218.1109733836382,"{0: 12, 1: 3, 2: 4, 3: 3, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-196.6001667062979,"{0: 11, 1: 0, 2: 5, 3: 0, 4: 4}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-213.172628832138,"{0: 15, 1: 2, 2: 2, 3: 2, 4: 4}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-80.91975755370794,"{0: 13, 1: 4, 2: 1, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-44.08916582229997,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,0,-78.50693517658013,"{0: 20, 1: 3, 2: 5, 3: 2, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",35,0,-172.07570461807165,"{0: 18, 1: 3, 2: 12, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,0,-200.10738850880867,"{0: 15, 1: 5, 2: 7, 3: 0, 4: 3}",0
1,True,"{'a': 0, 'e': 0}",20,0,-155.59437800889674,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
2,True,"{'a': 0, 'e': 0}",25,0,-105.17814083996997,"{0: 14, 1: 5, 2: 5, 3: 0, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",30,0,-51.70859140674831,"{0: 22, 1: 3, 2: 4, 3: 1, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",20,7,-30.77587826331299,"{0: 9, 1: 1, 2: 2, 3: 1, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,0,-136.65603481282818,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 3}",0
6,True,"{'a': 0, 'e': 0}",25,0,-159.62504770099736,"{0: 14, 1: 3, 2: 4, 3: 2, 4: 2}",0
7,True,"{'a': 0, 'e': 0}",25,0,-168.08898940697716,"{0: 13, 1: 2, 2: 7, 3: 1, 4: 2}",0
8,True,"{'a': 0, 'e': 0}",20,0,-125.09732506142467,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
9,True,"{'a': 0, 'e': 0}",25,0,-53.8791932614032,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",25,0,-126.19092545017858,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
