trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.002, 'e': 1.0}",20,0,-12.513335502893167,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",0
2,False,"{'a': 0.002, 'e': 0.9980019986673331}",25,11,-73.02432383264673,"{0: 7, 1: 3, 2: 3, 3: 0, 4: 1}",1
3,False,"{'a': 0.002, 'e': 0.9960079893439915}",25,0,-76.33224888376195,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
4,False,"{'a': 0.002, 'e': 0.9940179640539353}",30,8,-187.8051843692961,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 3}",1
5,False,"{'a': 0.002, 'e': 0.9920319148370607}",20,0,-62.64001257704073,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
6,False,"{'a': 0.002, 'e': 0.9900498337491681}",25,11,-23.058623261163017,"{0: 8, 1: 3, 2: 3, 3: 0, 4: 0}",1
7,False,"{'a': 0.002, 'e': 0.9880717128619305}",20,0,-148.65292682008183,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
8,False,"{'a': 0.002, 'e': 0.9860975442628619}",20,0,-143.18771340999993,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
9,False,"{'a': 0.002, 'e': 0.9841273200552851}",20,0,-105.06745218719348,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
10,False,"{'a': 0.002, 'e': 0.9821610323583008}",20,10,-31.53411066075963,"{0: 6, 1: 2, 2: 1, 3: 1, 4: 0}",1
11,False,"{'a': 0.002, 'e': 0.9801986733067553}",20,0,-107.27258175259502,"{0: 9, 1: 6, 2: 3, 3: 1, 4: 1}",0
12,False,"{'a': 0.002, 'e': 0.97824023505121}",30,0,-202.92147561658402,"{0: 13, 1: 5, 2: 9, 3: 1, 4: 2}",0
13,False,"{'a': 0.002, 'e': 0.9762857097579093}",25,0,-102.51101150771036,"{0: 11, 1: 5, 2: 9, 3: 0, 4: 0}",0
14,False,"{'a': 0.002, 'e': 0.9743350896087494}",20,0,-97.26548428773306,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
15,False,"{'a': 0.002, 'e': 0.9723883668012469}",30,0,-166.66460368500887,"{0: 19, 1: 2, 2: 6, 3: 0, 4: 3}",0
16,False,"{'a': 0.002, 'e': 0.9704455335485082}",30,0,-115.993518143562,"{0: 19, 1: 4, 2: 4, 3: 2, 4: 1}",0
17,False,"{'a': 0.002, 'e': 0.9685065820791976}",30,0,-77.23503802653451,"{0: 18, 1: 5, 2: 7, 3: 0, 4: 0}",0
18,False,"{'a': 0.002, 'e': 0.9665715046375066}",20,0,-78.46920976085207,"{0: 11, 1: 0, 2: 9, 3: 0, 4: 0}",0
19,False,"{'a': 0.002, 'e': 0.9646402934831231}",30,0,-167.4903011679558,"{0: 17, 1: 1, 2: 10, 3: 0, 4: 2}",0
20,False,"{'a': 0.002, 'e': 0.9627129408911995}",20,0,-58.11292338848001,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
21,False,"{'a': 0.002, 'e': 0.9607894391523232}",25,0,-307.0747211382007,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 6}",0
22,False,"{'a': 0.002, 'e': 0.9588697805724845}",20,0,-32.80655255516419,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
23,False,"{'a': 0.002, 'e': 0.9569539574730467}",25,0,-111.1454210195928,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
24,False,"{'a': 0.002, 'e': 0.9550419621907147}",25,0,-164.34229871909292,"{0: 18, 1: 1, 2: 2, 3: 0, 4: 4}",0
25,False,"{'a': 0.002, 'e': 0.9531337870775047}",25,0,-153.4178377870895,"{0: 13, 1: 2, 2: 6, 3: 3, 4: 1}",0
26,False,"{'a': 0.002, 'e': 0.951229424500714}",30,0,-113.40302527733559,"{0: 18, 1: 3, 2: 8, 3: 0, 4: 1}",0
27,False,"{'a': 0.002, 'e': 0.9493288668428895}",25,11,-43.57227817954444,"{0: 8, 1: 1, 2: 5, 3: 0, 4: 0}",1
28,False,"{'a': 0.002, 'e': 0.9474321065017983}",20,0,-21.127234625031516,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
29,False,"{'a': 0.002, 'e': 0.9455391358903963}",35,0,-150.65527599299264,"{0: 22, 1: 3, 2: 6, 3: 3, 4: 1}",0
30,False,"{'a': 0.002, 'e': 0.9436499474367985}",20,12,-23.630797551480068,"{0: 5, 1: 0, 2: 3, 3: 0, 4: 0}",1
31,False,"{'a': 0.002, 'e': 0.9417645335842487}",20,0,-115.42129043623453,"{0: 14, 1: 2, 2: 0, 3: 2, 4: 2}",0
32,False,"{'a': 0.002, 'e': 0.9398828867910889}",20,0,-51.67271433226797,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
33,False,"{'a': 0.002, 'e': 0.9380049995307295}",20,0,-129.59250110354432,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
34,False,"{'a': 0.002, 'e': 0.9361308642916188}",25,14,-87.61646514059765,"{0: 5, 1: 1, 2: 3, 3: 1, 4: 1}",1
35,False,"{'a': 0.002, 'e': 0.9342604735772135}",20,0,-111.18869033143771,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
36,False,"{'a': 0.002, 'e': 0.9323938199059483}",20,0,-84.65338154450426,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
37,False,"{'a': 0.002, 'e': 0.9305308958112057}",25,0,-115.9890930293925,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 2}",0
38,False,"{'a': 0.002, 'e': 0.9286716938412872}",20,0,-1.744040141676113,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
39,False,"{'a': 0.002, 'e': 0.9268162065593822}",20,0,-58.272445202997524,"{0: 13, 1: 5, 2: 1, 3: 0, 4: 1}",0
40,False,"{'a': 0.002, 'e': 0.9249644265435393}",20,0,-141.416542127878,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
41,False,"{'a': 0.002, 'e': 0.9231163463866358}",25,0,-125.18641067640216,"{0: 14, 1: 1, 2: 8, 3: 1, 4: 1}",0
42,False,"{'a': 0.002, 'e': 0.9212719586963487}",20,0,-143.51046095115984,"{0: 10, 1: 6, 2: 0, 3: 2, 4: 2}",0
43,False,"{'a': 0.002, 'e': 0.9194312560951247}",20,0,-69.0564551171569,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
44,False,"{'a': 0.002, 'e': 0.9175942312201509}",25,14,-33.94207516005988,"{0: 7, 1: 1, 2: 2, 3: 1, 4: 0}",1
