trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-109.71655494754086,"{0: 20, 1: 5, 2: 3, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,0,-187.66504442682208,"{0: 16, 1: 6, 2: 5, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-30.13712762696354,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-115.33065018648033,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-164.30858243961902,"{0: 14, 1: 3, 2: 4, 3: 2, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-135.46679865972578,"{0: 17, 1: 5, 2: 5, 3: 2, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-223.05139396346735,"{0: 11, 1: 3, 2: 6, 3: 2, 4: 3}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-122.5291879482496,"{0: 9, 1: 4, 2: 5, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-69.59877290282002,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-165.6761361274966,"{0: 11, 1: 6, 2: 5, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,3,-87.64503368398736,"{0: 10, 1: 2, 2: 3, 3: 1, 4: 1}",1
12,False,"{'a': 0.5, 'e': 1.0}",35,0,-360.5374508511559,"{0: 16, 1: 4, 2: 6, 3: 3, 4: 6}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-58.43027560948843,"{0: 16, 1: 2, 2: 7, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-200.38596202088615,"{0: 13, 1: 1, 2: 7, 3: 1, 4: 3}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,5,-95.04212085795761,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",1
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-114.79705532002136,"{0: 9, 1: 5, 2: 4, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-90.85102746925702,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,0,-303.21313210256403,"{0: 12, 1: 4, 2: 9, 3: 0, 4: 5}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-96.35004093715457,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-106.62134414848673,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,11,-51.85603832442942,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 1}",1
2,True,"{'a': 0.5, 'e': 1.0}",20,6,-107.40006510354705,"{0: 8, 1: 1, 2: 3, 3: 0, 4: 2}",1
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-70.37035394198541,"{0: 12, 1: 5, 2: 2, 3: 0, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-190.05991613217216,"{0: 16, 1: 0, 2: 5, 3: 0, 4: 4}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-78.78273003476923,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,11,-57.000542407679326,"{0: 5, 1: 1, 2: 2, 3: 0, 4: 1}",1
7,True,"{'a': 0.5, 'e': 1.0}",30,0,-168.8759377447364,"{0: 18, 1: 3, 2: 5, 3: 2, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-106.8901453939153,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-178.65759526712256,"{0: 8, 1: 0, 2: 9, 3: 1, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,14,-9.271425194255702,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 0}",1
